Format,2.0A,
Memory Length,5000,
Trigger Level,336mV,
Source,CH1,
Label,ENAA,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,-5.600E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-2.500E-04,
Horizontal Mode,Main,
Sampling Period,4.000E-08,
Firmware,V1.13,
Time,06-Dec-23 23:57:55,
Mode,Detail,
Waveform Data,,
-3.420800e-04,0.080000,
-3.420400e-04,0.080000,
-3.420000e-04,0.080000,
-3.419600e-04,0.080000,
-3.419200e-04,0.080000,
-3.418800e-04,0.080000,
-3.418400e-04,0.080000,
-3.418000e-04,0.080000,
-3.417600e-04,0.080000,
-3.417200e-04,0.080000,
-3.416800e-04,0.080000,
-3.416400e-04,0.080000,
-3.416000e-04,0.080000,
-3.415600e-04,0.080000,
-3.415200e-04,0.080000,
-3.414800e-04,0.080000,
-3.414400e-04,0.080000,
-3.414000e-04,0.080000,
-3.413600e-04,0.080000,
-3.413200e-04,0.080000,
-3.412800e-04,0.080000,
-3.412400e-04,0.080000,
-3.412000e-04,0.080000,
-3.411600e-04,0.080000,
-3.411200e-04,0.080000,
-3.410800e-04,0.080000,
-3.410400e-04,0.080000,
-3.410000e-04,0.080000,
-3.409600e-04,0.080000,
-3.409200e-04,0.080000,
-3.408800e-04,0.080000,
-3.408400e-04,0.080000,
-3.408000e-04,0.080000,
-3.407600e-04,0.080000,
-3.407200e-04,0.080000,
-3.406800e-04,0.080000,
-3.406400e-04,0.080000,
-3.406000e-04,0.080000,
-3.405600e-04,0.080000,
-3.405200e-04,0.080000,
-3.404800e-04,0.080000,
-3.404400e-04,0.080000,
-3.404000e-04,0.080000,
-3.403600e-04,0.080000,
-3.403200e-04,0.080000,
-3.402800e-04,0.080000,
-3.402400e-04,0.080000,
-3.402000e-04,0.080000,
-3.401600e-04,0.080000,
-3.401200e-04,0.080000,
-3.400800e-04,0.080000,
-3.400400e-04,0.080000,
-3.400000e-04,0.080000,
-3.399600e-04,0.080000,
-3.399200e-04,0.080000,
-3.398800e-04,0.080000,
-3.398400e-04,0.080000,
-3.398000e-04,0.080000,
-3.397600e-04,0.080000,
-3.397200e-04,0.080000,
-3.396800e-04,0.080000,
-3.396400e-04,0.080000,
-3.396000e-04,0.080000,
-3.395600e-04,0.080000,
-3.395200e-04,0.080000,
-3.394800e-04,0.080000,
-3.394400e-04,0.080000,
-3.394000e-04,0.080000,
-3.393600e-04,0.080000,
-3.393200e-04,0.080000,
-3.392800e-04,0.080000,
-3.392400e-04,0.080000,
-3.392000e-04,0.080000,
-3.391600e-04,0.080000,
-3.391200e-04,0.080000,
-3.390800e-04,0.080000,
-3.390400e-04,0.080000,
-3.390000e-04,0.080000,
-3.389600e-04,0.080000,
-3.389200e-04,0.080000,
-3.388800e-04,0.080000,
-3.388400e-04,0.080000,
-3.388000e-04,0.080000,
-3.387600e-04,0.080000,
-3.387200e-04,0.080000,
-3.386800e-04,0.080000,
-3.386400e-04,0.080000,
-3.386000e-04,0.080000,
-3.385600e-04,0.080000,
-3.385200e-04,0.080000,
-3.384800e-04,0.080000,
-3.384400e-04,0.080000,
-3.384000e-04,0.080000,
