Format,2.0A,
Memory Length,5000,
Trigger Level,336mV,
Source,CH1,
Label,ENAA,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,-5.600E-02,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,-2.500E-04,
Horizontal Mode,Main,
Sampling Period,2.000E-08,
Firmware,V1.13,
Time,07-Dec-23 00:12:06,
Mode,Detail,
Waveform Data,,
-3.000000e-04,0.026000,
-2.999800e-04,0.026000,
-2.999600e-04,0.026000,
-2.999400e-04,0.026000,
-2.999200e-04,0.026000,
-2.999000e-04,0.026000,
-2.998800e-04,0.026000,
-2.998600e-04,0.026000,
-2.998400e-04,0.026000,
-2.998200e-04,0.026000,
-2.998000e-04,0.026000,
-2.997800e-04,0.026000,
-2.997600e-04,0.026000,
-2.997400e-04,0.026000,
-2.997200e-04,0.026000,
-2.997000e-04,0.026000,
-2.996800e-04,0.026000,
-2.996600e-04,0.026000,
-2.996400e-04,0.026000,
-2.996200e-04,0.026000,
-2.996000e-04,0.026000,
-2.995800e-04,0.026000,
-2.995600e-04,0.026000,
-2.995400e-04,0.026000,
-2.995200e-04,0.026000,
-2.995000e-04,0.026000,
-2.994800e-04,0.026000,
-2.994600e-04,0.026000,
-2.994400e-04,0.026000,
-2.994200e-04,0.026000,
-2.994000e-04,0.026000,
-2.993800e-04,0.026000,
-2.993600e-04,0.026000,
-2.993400e-04,0.026000,
-2.993200e-04,0.026000,
-2.993000e-04,0.026000,
-2.992800e-04,0.026000,
-2.992600e-04,0.026000,
-2.992400e-04,0.026000,
-2.992200e-04,0.026000,
-2.992000e-04,0.026000,
-2.991800e-04,0.026000,
-2.991600e-04,0.026000,
-2.991400e-04,0.026000,
-2.991200e-04,0.026000,
-2.991000e-04,0.026000,
-2.990800e-04,0.026000,
-2.990600e-04,0.026000,
-2.990400e-04,0.026000,
-2.990200e-04,0.026000,
-2.990000e-04,0.026000,
-2.989800e-04,0.026000,
-2.989600e-04,0.026000,
-2.989400e-04,0.026000,
-2.989200e-04,0.026000,
-2.989000e-04,0.026000,
-2.988800e-04,0.026000,
-2.988600e-04,0.026000,
-2.988400e-04,0.026000,
-2.988200e-04,0.026000,
-2.988000e-04,0.026000,
-2.987800e-04,0.026000,
-2.987600e-04,0.026000,
-2.987400e-04,0.026000,
-2.987200e-04,0.026000,
-2.987000e-04,0.026000,
-2.986800e-04,0.026000,
-2.986600e-04,0.026000,
-2.986400e-04,0.026000,
-2.986200e-04,0.026000,
-2.986000e-04,0.026000,
-2.985800e-04,0.026000,
-2.985600e-04,0.026000,
-2.985400e-04,0.026000,
-2.985200e-04,0.026000,
-2.985000e-04,0.026000,
-2.984800e-04,0.026000,
-2.984600e-04,0.026000,
-2.984400e-04,0.026000,
-2.984200e-04,0.026000,
-2.984000e-04,0.026000,
-2.983800e-04,0.026000,
-2.983600e-04,0.026000,
-2.983400e-04,0.026000,
-2.983200e-04,0.026000,
-2.983000e-04,0.026000,
-2.982800e-04,0.026000,
-2.982600e-04,0.026000,
-2.982400e-04,0.026000,
-2.982200e-04,0.026000,
-2.982000e-04,0.026000,
-2.981800e-04,0.026000,
-2.981600e-04,0.026000,
-2.981400e-04,0.026000,
-2.981200e-04,0.026000,
-2.981000e-04,0.026000,
-2.980800e-04,0.026000,
-2.980600e-04,0.026000,
-2.980400e-04,0.026000,
-2.980200e-04,0.026000,
-2.980000e-04,0.026000,
-2.979800e-04,0.026000,
-2.979600e-04,0.026000,
-2.979400e-04,0.026000,
-2.979200e-04,0.026000,
-2.979000e-04,0.026000,
-2.978800e-04,0.026000,
-2.978600e-04,0.026000,
-2.978400e-04,0.026000,
-2.978200e-04,0.026000,
-2.978000e-04,0.026000,
-2.977800e-04,0.026000,
-2.977600e-04,0.026000,
-2.977400e-04,0.026000,
-2.977200e-04,0.026000,
-2.977000e-04,0.026000,
-2.976800e-04,0.026000,
-2.976600e-04,0.026000,
-2.976400e-04,0.026000,
-2.976200e-04,0.026000,
-2.976000e-04,0.026000,
-2.975800e-04,0.026000,
-2.975600e-04,0.026000,
-2.975400e-04,0.026000,
-2.975200e-04,0.026000,
-2.975000e-04,0.026000,
-2.974800e-04,0.026000,
-2.974600e-04,0.026000,
-2.974400e-04,0.026000,
-2.974200e-04,0.026000,
-2.974000e-04,0.026000,
-2.973800e-04,0.026000,
-2.973600e-04,0.026000,
-2.973400e-04,0.026000,
