"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)";"Latest: Potential 3 (V)";"Latest: Potential 4 (V)";"Latest: R1 (Ω)";"Latest: R2 (Ω)";"Latest: R3 (Ω)";"Latest: Temp (K)";"Latest: R1/R10";"Latest: R2/R20";"Latest: R3/R30";"Run 1: Time (s)";"Run 1: Potential 1 (V)";"Run 1: Potential 2 (V)";"Run 1: Potential 3 (V)";"Run 1: Potential 4 (V)";"Run 1: R1 (Ω)";"Run 1: R2 (Ω)";"Run 1: R3 (Ω)";"Run 1: Temp (K)";"Run 1: R1/R10";"Run 1: R2/R20";"Run 1: R3/R30"
4360;0,104;0,094;3,037;3,900;10,379;9,402;3,037;389,988;0,077;1,500;1,303;;;;;;;;;;;;
4370;0,101;0,094;3,043;3,911;10,134;9,402;3,043;391,087;0,075;1,500;1,306;;;;;;;;;;;;
4380;0,099;0,094;3,051;3,921;9,890;9,402;3,051;392,063;0,074;1,500;1,310;;;;;;;;;;;;
4390;0,098;0,094;3,057;3,929;9,768;9,402;3,057;392,918;0,073;1,500;1,312;;;;;;;;;;;;
4400;0,095;0,095;3,066;3,939;9,524;9,524;3,066;393,895;0,071;1,519;1,316;;;;;;;;;;;;
4410;0,093;0,095;3,071;3,950;9,280;9,524;3,071;394,994;0,069;1,519;1,318;;;;;;;;;;;;
4420;0,090;0,095;3,076;3,960;9,035;9,524;3,076;395,971;0,067;1,519;1,320;;;;;;;;;;;;
4430;0,088;0,096;3,085;3,968;8,791;9,646;3,085;396,825;0,065;1,539;1,324;;;;;;;;;;;;
4440;0,087;0,096;3,092;3,979;8,669;9,646;3,092;397,924;0,064;1,539;1,327;;;;;;;;;;;;
4450;0,084;0,096;3,099;3,989;8,425;9,646;3,099;398,901;0,063;1,539;1,330;;;;;;;;;;;;
4460;0,083;0,096;3,105;3,999;8,303;9,646;3,105;399,878;0,062;1,539;1,333;;;;;;;;;;;;
4470;0,081;0,098;3,111;4,007;8,059;9,768;3,111;400,733;0,060;1,558;1,335;;;;;;;;;;;;
4480;0,079;0,098;3,121;4,017;7,937;9,768;3,121;401,709;0,059;1,558;1,339;;;;;;;;;;;;
4490;0,078;0,098;3,123;4,027;7,814;9,768;3,123;402,686;0,058;1,558;1,340;;;;;;;;;;;;
4500;0,076;0,099;3,131;4,037;7,570;9,890;3,131;403,663;0,056;1,578;1,344;;;;;;;;;;;;
4510;0,074;0,099;3,138;4,045;7,448;9,890;3,138;404,518;0,055;1,578;1,347;;;;;;;;;;;;
4520;0,073;0,099;3,144;4,055;7,326;9,890;3,144;405,494;0,054;1,578;1,349;;;;;;;;;;;;
4530;0,071;0,099;3,150;4,065;7,082;9,890;3,150;406,471;0,053;1,578;1,352;;;;;;;;;;;;
4540;0,070;0,099;3,158;4,072;6,960;9,890;3,158;407,204;0,052;1,578;1,355;;;;;;;;;;;;
4550;0,068;0,100;3,164;4,081;6,838;10,012;3,164;408,059;0,051;1,597;1,358;;;;;;;;;;;;
4560;0,067;0,100;3,171;4,090;6,716;10,012;3,171;409,035;0,050;1,597;1,361;;;;;;;;;;;;
4570;0,066;0,100;3,177;4,099;6,593;10,012;3,177;409,890;0,049;1,597;1,364;;;;;;;;;;;;
4580;0,065;0,100;3,182;4,107;6,471;10,012;3,182;410,745;0,048;1,597;1,366;;;;;;;;;;;;
4590;0,063;0,101;3,189;4,116;6,349;10,134;3,189;411,600;0,047;1,617;1,369;;;;;;;;;;;;
4600;0,062;0,101;3,195;4,125;6,227;10,134;3,195;412,454;0,046;1,617;1,371;;;;;;;;;;;;
4610;0,061;0,101;3,200;4,134;6,105;10,134;3,200;413,431;0,045;1,617;1,373;;;;;;;;;;;;
4620;0,060;0,103;3,205;4,144;5,983;10,256;3,205;414,408;0,045;1,636;1,376;;;;;;;;;;;;
4630;0,059;0,103;3,215;4,151;5,861;10,256;3,215;415,140;0,044;1,636;1,380;;;;;;;;;;;;
4640;0,057;0,103;3,217;4,159;5,739;10,256;3,217;415,873;0,043;1,636;1,381;;;;;;;;;;;;
4650;0,056;0,103;3,225;4,167;5,617;10,256;3,225;416,728;0,042;1,636;1,384;;;;;;;;;;;;
4660;0,056;0,103;3,231;4,177;5,617;10,256;3,231;417,705;0,042;1,636;1,387;;;;;;;;;;;;
4670;0,055;0,104;3,238;4,186;5,495;10,379;3,238;418,559;0,041;1,656;1,390;;;;;;;;;;;;
4680;0,054;0,104;3,243;4,193;5,372;10,379;3,243;419,292;0,040;1,656;1,392;;;;;;;;;;;;
4690;0,053;0,105;3,250;4,201;5,250;10,501;3,250;420,147;0,039;1,675;1,395;;;;;;;;;;;;
4700;0,051;0,104;3,255;4,209;5,128;10,379;3,255;420,879;0,038;1,656;1,397;;;;;;;;;;;;
4710;0,051;0,105;3,261;4,216;5,128;10,501;3,261;421,612;0,038;1,675;1,400;;;;;;;;;;;;
4720;0,050;0,105;3,267;4,226;5,006;10,501;3,267;422,589;0,037;1,675;1,402;;;;;;;;;;;;
4730;0,049;0,105;3,271;4,233;4,884;10,501;3,271;423,321;0,036;1,675;1,404;;;;;;;;;;;;
4740;0,049;0,106;3,275;4,242;4,884;10,623;3,275;424,176;0,036;1,695;1,405;;;;;;;;;;;;
4750;0,048;0,106;3,282;4,250;4,762;10,623;3,282;425,031;0,035;1,695;1,409;;;;;;;;;;;;
4760;0,046;0,106;3,287;4,258;4,640;10,623;3,287;425,763;0,035;1,695;1,411;;;;;;;;;;;;
4770;0,046;0,106;3,292;4,264;4,640;10,623;3,292;426,374;0,035;1,695;1,413;;;;;;;;;;;;
4780;0,045;0,107;3,298;4,272;4,518;10,745;3,298;427,228;0,034;1,714;1,415;;;;;;;;;;;;
4790;0,045;0,106;3,304;4,281;4,518;10,623;3,304;428,083;0,034;1,695;1,418;;;;;;;;;;;;
4800;0,044;0,107;3,309;4,287;4,396;10,745;3,309;428,694;0,033;1,714;1,420;;;;;;;;;;;;
4810;0,043;0,107;3,313;4,295;4,274;10,745;3,313;429,548;0,032;1,714;1,422;;;;;;;;;;;;
4820;0,043;0,107;3,320;4,303;4,274;10,745;3,320;430,281;0,032;1,714;1,425;;;;;;;;;;;;
4830;0,042;0,109;3,325;4,310;4,151;10,867;3,325;431,013;0,031;1,734;1,427;;;;;;;;;;;;
4840;0,042;0,109;3,331;4,317;4,151;10,867;3,331;431,746;0,031;1,734;1,430;;;;;;;;;;;;
4850;0,040;0,109;3,337;4,324;4,029;10,867;3,337;432,357;0,030;1,734;1,432;;;;;;;;;;;;
4860;0,040;0,109;3,342;4,333;4,029;10,867;3,342;433,333;0,030;1,734;1,434;;;;;;;;;;;;
4870;0,039;0,109;3,347;4,341;3,907;10,867;3,347;434,066;0,029;1,734;1,436;;;;;;;;;;;;
4880;0,039;0,110;3,352;4,347;3,907;10,989;3,352;434,676;0,029;1,753;1,438;;;;;;;;;;;;
4890;0,039;0,110;3,358;4,354;3,907;10,989;3,358;435,409;0,029;1,753;1,441;;;;;;;;;;;;
4900;0,038;0,110;3,364;4,363;3,785;10,989;3,364;436,264;0,028;1,753;1,444;;;;;;;;;;;;
4910;0,037;0,110;3,366;4,369;3,663;10,989;3,366;436,874;0,027;1,753;1,445;;;;;;;;;;;;
4920;0,037;0,111;3,372;4,376;3,663;11,111;3,372;437,607;0,027;1,773;1,447;;;;;;;;;;;;
4930;0,037;0,111;3,376;4,382;3,663;11,111;3,376;438,217;0,027;1,773;1,449;;;;;;;;;;;;
4940;0,035;0,111;3,385;4,390;3,541;11,111;3,385;438,950;0,026;1,773;1,453;;;;;;;;;;;;
4950;0,035;0,111;3,388;4,397;3,541;11,111;3,388;439,683;0,026;1,773;1,454;;;;;;;;;;;;
4960;0,034;0,111;3,393;4,403;3,419;11,111;3,393;440,293;0,025;1,773;1,456;;;;;;;;;;;;
4970;0,034;0,112;3,400;4,410;3,419;11,233;3,400;441,026;0,025;1,792;1,459;;;;;;;;;;;;
4980;0,034;0,112;3,403;4,419;3,419;11,233;3,403;441,880;0,025;1,792;1,460;;;;;;;;;;;;
4990;0,033;0,112;3,410;4,424;3,297;11,233;3,410;442,369;0,025;1,792;1,464;;;;;;;;;;;;
5000;0,033;0,112;3,411;4,431;3,297;11,233;3,411;443,101;0,025;1,792;1,464;;;;;;;;;;;;
5010;0,032;0,114;3,418;4,437;3,175;11,355;3,418;443,712;0,024;1,812;1,467;;;;;;;;;;;;
5020;0,032;0,114;3,421;4,444;3,175;11,355;3,421;444,444;0,024;1,812;1,468;;;;;;;;;;;;
5030;0,032;0,114;3,427;4,451;3,175;11,355;3,427;445,055;0,024;1,812;1,471;;;;;;;;;;;;
5040;0,032;0,114;3,432;4,458;3,175;11,355;3,432;445,788;0,024;1,812;1,473;;;;;;;;;;;;
5050;0,031;0,114;3,436;4,465;3,053;11,355;3,436;446,520;0,023;1,812;1,475;;;;;;;;;;;;
5060;0,031;0,114;3,443;4,471;3,053;11,355;3,443;447,131;0,023;1,812;1,478;;;;;;;;;;;;
5070;0,031;0,115;3,448;4,477;3,053;11,477;3,448;447,741;0,023;1,831;1,480;;;;;;;;;;;;
5080;0,029;0,115;3,452;4,484;2,930;11,477;3,452;448,352;0,022;1,831;1,481;;;;;;;;;;;;
5090;0,029;0,115;3,457;4,491;2,930;11,477;3,457;449,084;0,022;1,831;1,484;;;;;;;;;;;;
5100;0,029;0,115;3,460;4,498;2,930;11,477;3,460;449,817;0,022;1,831;1,485;;;;;;;;;;;;
5110;0,028;0,116;3,468;4,503;2,808;11,600;3,468;450,305;0,021;1,851;1,488;;;;;;;;;;;;
5120;0,028;0,116;3,469;4,509;2,808;11,600;3,469;450,916;0,021;1,851;1,489;;;;;;;;;;;;
