Vernier Format 2
Lab_RT.cmbl 17/11/2023 16:42:19 ,
Latest
Time	Potential 1	Potential 2	Potential 3	Potential 4	R1	R2	R3	Temp	R1/R10	R2/R20	R3/R30
t	Pot 1	Pot 2	Pot 3	Pot 4	CC	CC	CC	CC	CC	CC	CC
s	V	V	V	V	Ω	Ω	Ω	K			
420	1,53602	0,0512821	1,96093	2,56654	153,602	5,12821	1,96093	256,654	1,1425999762	0,818157306956	0,841600858369
430	1,52381	0,0512821	1,94872	2,55189	152,381	5,12821	1,94872	255,189	1,13351731731	0,818157306956	0,836360515021
440	1,5116	0,0500611	1,93651	2,53724	151,16	5,00611	1,93651	253,724	1,12443465841	0,798677409062	0,831120171674
450	1,49939	0,0500611	1,92552	2,52259	149,939	5,00611	1,92552	252,259	1,11535199952	0,798677409062	0,826403433476
460	1,4884	0,0500611	1,91453	2,50794	148,84	5,00611	1,91453	250,794	1,10717686265	0,798677409062	0,821686695279
470	1,47619	0,04884	1,90232	2,49451	147,619	4,884	1,90232	249,451	1,09809420376	0,779195915763	0,816446351931
480	1,46398	0,04884	1,89133	2,47863	146,398	4,884	1,89133	247,863	1,08901154487	0,779195915763	0,811729613734
490	1,45299	0,047619	1,88034	2,4652	145,299	4,7619	1,88034	246,52	1,080836408	0,759716017869	0,807012875536
500	1,44078	0,047619	1,86813	2,45177	144,078	4,7619	1,86813	245,177	1,07175374911	0,759716017869	0,801772532189
510	1,42857	0,047619	1,85714	2,43712	142,857	4,7619	1,85714	243,712	1,06267109022	0,759716017869	0,797055793991
520	1,41758	0,046398	1,84615	2,42491	141,758	4,6398	1,84615	242,491	1,05449595334	0,740236119974	0,792339055794
530	1,40659	0,046398	1,83516	2,41026	140,659	4,6398	1,83516	241,026	1,04632081647	0,740236119974	0,787622317597
540	1,3956	0,046398	1,82418	2,39683	139,56	4,6398	1,82418	239,683	1,0381456796	0,740236119974	0,782909871245
550	1,38462	0,045177	1,81441	2,38462	138,462	4,5177	1,81441	238,462	1,02997798143	0,72075622208	0,778716738197
560	1,37363	0,045177	1,80342	2,37118	137,363	4,5177	1,80342	237,118	1,02180284456	0,72075622208	0,774
570	1,36264	0,045177	1,79365	2,35897	136,264	4,5177	1,79365	235,897	1,01362770769	0,72075622208	0,769806866953
580	1,35287	0,043956	1,78388	2,34676	135,287	4,3956	1,78388	234,676	1,00636009284	0,701276324186	0,765613733906
590	1,34188	0,043956	1,77289	2,33455	134,188	4,3956	1,77289	233,455	0,998184955963	0,701276324186	0,760896995708
600	1,33211	0,043956	1,76313	2,32112	133,211	4,3956	1,76313	232,112	0,990917341109	0,701276324186	0,756708154506
610	1,32112	0,043956	1,75336	2,30891	132,112	4,3956	1,75336	230,891	0,982742204237	0,701276324186	0,752515021459
620	1,31136	0,042735	1,74359	2,2967	131,136	4,2735	1,74359	229,67	0,975482028089	0,681796426292	0,748321888412
630	1,30159	0,042735	1,73382	2,28571	130,159	4,2735	1,73382	228,571	0,968214413235	0,681796426292	0,744128755365
640	1,29182	0,042735	1,72405	2,27473	129,182	4,2735	1,72405	227,473	0,960946798381	0,681796426292	0,739935622318
650	1,28327	0,041514	1,71551	2,26252	128,327	4,1514	1,71551	226,252	0,954586705546	0,662316528398	0,736270386266
660	1,2735	0,041514	1,70574	2,25153	127,35	4,1514	1,70574	225,153	0,947319090693	0,662316528398	0,732077253219
670	1,26374	0,041514	1,69719	2,24054	126,374	4,1514	1,69719	224,054	0,940058914544	0,662316528398	0,728407725322
680	1,25519	0,040293	1,68742	2,22955	125,519	4,0293	1,68742	222,955	0,933698821709	0,642836630504	0,724214592275
690	1,24542	0,040293	1,67888	2,21856	124,542	4,0293	1,67888	221,856	0,926431206856	0,642836630504	0,720549356223
700	1,23687	0,040293	1,67033	2,20757	123,687	4,0293	1,67033	220,757	0,92007111402	0,642836630504	0,716879828326
710	1,22955	0,040293	1,66178	2,1978	122,955	4,0293	1,66178	219,78	0,914625981909	0,642836630504	0,713210300429
720	1,21978	0,040293	1,65324	2,18681	121,978	4,0293	1,65324	218,681	0,907358367055	0,642836630504	0,709545064378
730	1,21123	0,039072	1,64469	2,17582	121,123	3,9072	1,64469	217,582	0,90099827422	0,62335673261	0,705875536481
740	1,20391	0,039072	1,63614	2,16606	120,391	3,9072	1,63614	216,606	0,895553142109	0,62335673261	0,702206008584
750	1,19536	0,039072	1,62759	2,15629	119,536	3,9072	1,62759	215,629	0,889193049274	0,62335673261	0,698536480687
760	1,18681	0,039072	1,62027	2,14774	118,681	3,9072	1,62027	214,774	0,882832956439	0,62335673261	0,695394849785
770	1,17949	0,039072	1,61172	2,13675	117,949	3,9072	1,61172	213,675	0,877387824328	0,62335673261	0,691725321888
780	1,17094	0,037851	1,6044	2,12698	117,094	3,7851	1,6044	212,698	0,871027731493	0,603876834716	0,688583690987
790	1,16361	0,037851	1,59707	2,11844	116,361	3,7851	1,59707	211,844	0,865575160676	0,603876834716	0,68543776824
800	1,15629	0,037851	1,58852	2,10989	115,629	3,7851	1,58852	210,989	0,860130028565	0,603876834716	0,681768240343
810	1,14896	0,03663	1,5812	2,10012	114,896	3,663	1,5812	210,012	0,854677457748	0,584396936822	0,678626609442
820	1,14164	0,03663	1,57265	2,09035	114,164	3,663	1,57265	209,035	0,849232325637	0,584396936822	0,674957081545
830	1,13553	0,03663	1,56532	2,08181	113,553	3,663	1,56532	208,181	0,844687276839	0,584396936822	0,671811158798
840	1,12821	0,03663	1,558	2,07326	112,821	3,663	1,558	207,326	0,839242144727	0,584396936822	0,668669527897
850	1,12088	0,03663	1,55067	2,06471	112,088	3,663	1,55067	206,471	0,833789573911	0,584396936822	0,66552360515
860	1,11355	0,03663	1,54457	2,05617	111,355	3,663	1,54457	205,617	0,828337003095	0,584396936822	0,662905579399
870	1,10745	0,035409	1,53724	2,04762	110,745	3,5409	1,53724	204,762	0,823799393002	0,564917038928	0,659759656652
880	1,10012	0,035409	1,52991	2,04029	110,012	3,5409	1,52991	204,029	0,818346822185	0,564917038928	0,656613733906
890	1,09402	0,035409	1,52259	2,03175	109,402	3,5409	1,52259	203,175	0,813809212092	0,564917038928	0,653472103004
900	1,08669	0,035409	1,51526	2,0232	108,669	3,5409	1,51526	202,32	0,808356641276	0,564917038928	0,650326180258
910	1,08059	0,034188	1,50916	2,01465	108,059	3,4188	1,50916	201,465	0,803819031183	0,545437141034	0,647708154506
920	1,07448	0,035409	1,50183	2,00733	107,448	3,5409	1,50183	200,733	0,799273982385	0,564917038928	0,64456223176
930	1,06838	0,034188	1,49695	2	106,838	3,4188	1,49695	200	0,794736372292	0,545437141034	0,642467811159
940	1,06227	0,034188	1,48962	1,99267	106,227	3,4188	1,48962	199,267	0,790191323494	0,545437141034	0,639321888412
950	1,05617	0,034188	1,4823	1,98535	105,617	3,4188	1,4823	198,535	0,785653713402	0,545437141034	0,636180257511
960	1,05006	0,034188	1,47741	1,97802	105,006	3,4188	1,47741	197,802	0,781108664604	0,545437141034	0,634081545064
970	1,04518	0,032967	1,47009	1,9707	104,518	3,2967	1,47009	197,07	0,777478576529	0,52595724314	0,630939914163
980	1,03907	0,032967	1,4652	1,96337	103,907	3,2967	1,4652	196,337	0,772933527731	0,52595724314	0,628841201717
990	1,03297	0,032967	1,45788	1,95482	103,297	3,2967	1,45788	195,482	0,768395917639	0,52595724314	0,625699570815
1000	1,02808	0,032967	1,45177	1,94872	102,808	3,2967	1,45177	194,872	0,764758390859	0,52595724314	0,623077253219
1010	1,02198	0,031746	1,44567	1,94139	102,198	3,1746	1,44567	194,139	0,760220780766	0,506477345246	0,620459227468
1020	1,01709	0,032967	1,44078	1,93529	101,709	3,2967	1,44078	193,529	0,756583253987	0,52595724314	0,618360515021
1030	1,01099	0,032967	1,43468	1,92796	101,099	3,2967	1,43468	192,796	0,752045643894	0,52595724314	0,61574248927
1040	1,00611	0,031746	1,42857	1,92186	100,611	3,1746	1,42857	192,186	0,74841555582	0,506477345246	0,613120171674
1050	1	0,031746	1,42369	1,91575	100	3,1746	1,42369	191,575	0,743870507022	0,506477345246	0,611025751073
1060	0,995116	0,032967	1,41636	1,9072	99,5116	3,2967	1,41636	190,72	0,740237443466	0,52595724314	0,607879828326
1070	0,989011	0,031746	1,41148	1,9011	98,9011	3,1746	1,41148	190,11	0,73569611402	0,506477345246	0,605785407725
1080	0,982906	0,031746	1,40537	1,89499	98,2906	3,1746	1,40537	189,499	0,731154784575	0,506477345246	0,603163090129
1090	0,976801	0,031746	1,40049	1,88889	97,6801	3,1746	1,40049	188,889	0,72661345513	0,506477345246	0,601068669528
1100	0,971917	0,031746	1,39438	1,88278	97,1917	3,1746	1,39438	188,278	0,722980391573	0,506477345246	0,598446351931
1110	0,967033	0,030525	1,38828	1,87546	96,7033	3,0525	1,38828	187,546	0,719347328017	0,486997447352	0,59582832618
1120	0,962149	0,030525	1,38217	1,87057	96,2149	3,0525	1,38217	187,057	0,715714264461	0,486997447352	0,593206008584
1130	0,957265	0,030525	1,37729	1,86447	95,7265	3,0525	1,37729	186,447	0,712081200905	0,486997447352	0,591111587983
1140	0,952381	0,031746	1,37241	1,85714	95,2381	3,1746	1,37241	185,714	0,708448137348	0,506477345246	0,589017167382
1150	0,947497	0,030525	1,3663	1,85104	94,7497	3,0525	1,3663	185,104	0,704815073792	0,486997447352	0,586394849785
1160	0,942613	0,030525	1,36142	1,84493	94,2613	3,0525	1,36142	184,493	0,701182010236	0,486997447352	0,584300429185
1170	0,937729	0,030525	1,35409	1,84005	93,7729	3,0525	1,35409	184,005	0,697548946679	0,486997447352	0,581154506438
1180	0,932845	0,030525	1,35043	1,83394	93,2845	3,0525	1,35043	183,394	0,693915883123	0,486997447352	0,579583690987
1190	0,927961	0,030525	1,34432	1,82784	92,7961	3,0525	1,34432	182,784	0,690282819567	0,486997447352	0,576961373391
1200	0,920635	0,030525	1,33822	1,81929	92,0635	3,0525	1,33822	181,929	0,684833224232	0,486997447352	0,574343347639
1210	0,913309	0,030525	1,32967	1,81319	91,3309	3,0525	1,32967	181,319	0,679383628898	0,486997447352	0,570673819742
1220	0,904762	0,030525	1,32234	1,80464	90,4762	3,0525	1,32234	180,464	0,673025767674	0,486997447352	0,567527896996
1230	0,894994	0,030525	1,31258	1,79731	89,4994	3,0525	1,31258	179,731	0,665759640562	0,486997447352	0,563339055794
1240	0,884005	0,029304	1,30159	1,78632	88,4005	2,9304	1,30159	178,632	0,65758524756	0,467517549458	0,558622317597
1250	0,874237	0,029304	1,29182	1,77534	87,4237	2,9304	1,29182	177,534	0,650319120448	0,467517549458	0,554429184549
1260	0,86569	0,029304	1,27961	1,76435	86,569	2,9304	1,27961	176,435	0,643961259224	0,467517549458	0,549188841202
1270	0,857143	0,029304	1,26862	1,75336	85,7143	2,9304	1,26862	175,336	0,637603398	0,467517549458	0,544472103004
1280	0,847375	0,029304	1,25519	1,74237	84,7375	2,9304	1,25519	174,237	0,630337270888	0,467517549458	0,538708154506
1290	0,837607	0,028083	1,2442	1,72894	83,7607	2,8083	1,2442	172,894	0,623071143775	0,448037651563	0,533991416309
1300	0,82906	0,028083	1,23199	1,71673	82,906	2,8083	1,23199	171,673	0,616713282552	0,448037651563	0,528751072961
1310	0,818071	0,026862	1,21856	1,70452	81,8071	2,6862	1,21856	170,452	0,60853888955	0,428557753669	0,522987124464
1320	0,808303	0,026862	1,20513	1,69109	80,8303	2,6862	1,20513	169,109	0,601272762438	0,428557753669	0,517223175966
1330	0,798535	0,026862	1,19292	1,67766	79,8535	2,6862	1,19292	167,766	0,594006635325	0,428557753669	0,511982832618
1340	0,787546	0,026862	1,18071	1,66422	78,7546	2,6862	1,18071	166,422	0,585832242323	0,428557753669	0,50674248927
1350	0,777778	0,025641	1,16728	1,65079	77,7778	2,5641	1,16728	165,079	0,578566115211	0,409077855775	0,500978540773
1360	0,76801	0,025641	1,15385	1,63736	76,801	2,5641	1,15385	163,736	0,571299988098	0,409077855775	0,495214592275
1370	0,758242	0,02442	1,14286	1,62393	75,8242	2,442	1,14286	162,393	0,564033860985	0,389597957881	0,490497854077
1380	0,748474	0,02442	1,12943	1,6105	74,8474	2,442	1,12943	161,05	0,556767733873	0,389597957881	0,484733905579
1390	0,739927	0,02442	1,116	1,59707	73,9927	2,442	1,116	159,707	0,550409872649	0,389597957881	0,478969957082
1400	0,728938	0,023199	1,10379	1,58364	72,8938	2,3199	1,10379	158,364	0,542235479648	0,370118059987	0,473729613734
1410	0,720391	0,023199	1,09158	1,57021	72,0391	2,3199	1,09158	157,021	0,535877618424	0,370118059987	0,468489270386
1420	0,710623	0,023199	1,07937	1,558	71,0623	2,3199	1,07937	155,8	0,528611491312	0,370118059987	0,463248927039
